station,mape,daily_avg,cv,weekend_ratio,season_ratio,spike_pct
14th & Belmont St NW,18.478176392331427,62.46306429548564,0.3922910645211226,1.0117958080424887,1.7378617088762016,0.0
Georgia & New Hampshire Ave NW,20.52859521346327,34.604651162790695,0.4531468324293174,0.9419763935637759,1.7947272461106452,0.0
Columbia Rd & Belmont St NW,21.689126835800927,41.23529411764706,0.43140825129758903,1.1300834794078343,1.8280370112426625,0.0
8th & O St NW,22.32224260872474,76.18262653898769,0.33989908664669627,1.1520305116087939,1.7642518990951754,0.0
California St & Florida Ave NW,22.327460519770586,57.86183310533516,0.36792232127538643,1.1659670380376825,1.755565631629917,0.0
Convention Center / 7th & M St NW,22.342537635159328,48.930916552667576,0.43597840670529403,0.9420147844498319,1.6605258906409874,0.0
New Hampshire Ave & T St NW,22.372276294347166,122.63885088919288,0.3349804944073107,0.9931090033808136,1.7155609367194968,0.0
8th & F St NE,22.419556165715246,34.23461012311901,0.40570366687805504,0.9048633254895851,1.7566303862794175,0.0
15th & P St NW,22.458692980186456,109.06634746922025,0.32023995023788726,1.0278229979379712,1.7917232284838847,0.0
4th & M St SW,22.619022981849767,63.73255813953488,0.37827225162543765,0.9505515811339613,2.006485832386187,0.0
14th & R St NW,22.774796257576995,82.82147742818057,0.40001872171412894,1.3165238390992944,1.9057782376940946,0.0
5th & K St NW,22.98257867722037,98.51231190150479,0.39179820190986936,0.972729622757636,1.9936958279761174,0.0
18th & New Hampshire Ave NW,23.418980577693286,63.89876880984952,0.3869977043008843,0.9134168372604539,1.7661540229601993,0.0
Eckington Pl & Q St NE,23.899812911940106,51.92476060191518,0.32311420204915653,0.9259418954860698,1.6349042422573352,0.0
Montello Ave & Holbrook Terr NE,23.96671584299051,16.612859097127224,0.4632765374010095,0.8502164098071291,1.8174836435706,0.0
Columbus Circle / Union Station,23.99970325016444,132.97674418604652,0.4238320265123829,0.6518867420562671,1.630702072047437,0.0
13th & U St NW,24.16436771139695,49.03693570451436,0.40204818337789205,1.04362717691749,2.048167843479046,0.0
14th & Girard St NW,24.226875234515084,31.39329685362517,0.4815113579684353,0.9894744349608169,1.67747925040165,0.0
17th & Corcoran St NW,24.243023546256875,73.53419972640219,0.33233765770778406,1.0254559851793734,1.7109241668450137,0.0
D St & Maryland Ave NE,24.67157524557386,36.665526675786595,0.4009848885815756,0.9000785357174763,1.9419459324778872,0.0
5th St & Massachusetts Ave NW,24.683971223822468,54.1812585499316,0.41366596581026327,0.988070382553345,2.0331413719630853,0.0
Lamont & Mt Pleasant NW,25.15966567968294,61.88919288645691,0.48888895204266986,1.144525288121768,1.9103237423566042,0.0
1st & I St SE,25.836748096111734,61.151162790697676,0.5931953024983585,1.1025417730971443,3.1302057085261374,0.0
7th & S St NW,25.878849847727636,38.803693570451436,0.41893883721451325,1.064272877851511,1.9247304768032778,0.0
14th & Q St NW,25.97177214864913,50.81942544459644,0.390121816906805,1.109548396872527,1.9195550979822777,0.0
6th & H St NE,26.37065738230101,68.22777017783858,0.34882252032514693,0.9790420704003734,1.766562324657556,0.0
