station,daily_avg,total_trips,mape,rmse,mae,correlation,mape_rank
14th & Belmont St NW,62.46306429548564,91321,18.478176392331427,17.031983123896847,13.090652073461353,0.8286488732856321,1.0
Georgia & New Hampshire Ave NW,34.604651162790695,50592,20.52859521346327,11.513632159616963,8.306849663222852,0.7334278569600028,2.0
Columbia Rd & Belmont St NW,41.23529411764706,60286,21.689126835800927,12.759152715243316,9.87414624446989,0.7803889843504485,3.0
8th & O St NW,76.18262653898769,111379,22.32224260872474,18.28749332924572,13.522333116918494,0.7613068744893046,4.0
California St & Florida Ave NW,57.86183310533516,84594,22.327460519770586,14.083732010060553,10.993227436835447,0.7849336999438902,5.0
Convention Center / 7th & M St NW,48.930916552667576,71537,22.342537635159328,13.70144569657096,10.655101711013721,0.7613547314927044,6.0
New Hampshire Ave & T St NW,122.63885088919288,179298,22.372276294347166,32.02295101180589,24.73083533123456,0.8333929424535752,7.0
8th & F St NE,34.23461012311901,50051,22.419556165715246,8.566300733133305,6.682759357107615,0.7802802782384007,8.0
15th & P St NW,109.06634746922025,159455,22.458692980186456,27.501937617143728,21.275205022186462,0.8142771907940998,9.0
4th & M St SW,63.73255813953488,93177,22.619022981849767,15.9845450575311,12.476026702378732,0.8332066269896504,10.0
14th & R St NW,82.82147742818057,121085,22.774796257576995,19.866411105187087,15.751197807492913,0.8675092178658845,11.0
5th & K St NW,98.51231190150479,144025,22.98257867722037,24.272201140095575,18.915253561603333,0.8650907659982648,12.0
18th & New Hampshire Ave NW,63.89876880984952,93420,23.418980577693286,16.227446595567695,12.05876471591571,0.7943244022800208,13.0
Eckington Pl & Q St NE,51.92476060191518,75914,23.899812911940106,11.067075107547536,8.934362033159864,0.7725851817884013,14.0
Montello Ave & Holbrook Terr NE,16.612859097127224,24288,23.96671584299051,6.904941367316876,5.513196342953249,0.7288842714972981,15.0
Columbus Circle / Union Station,132.97674418604652,194412,23.99970325016444,33.51106548737626,25.43057229728081,0.847395065500305,16.0
13th & U St NW,49.03693570451436,71692,24.16436771139695,13.738501879060061,11.06024410778742,0.7841764869387772,17.0
14th & Girard St NW,31.39329685362517,45897,24.226875234515084,10.291901702501947,8.09089046511055,0.7102450633871268,18.0
17th & Corcoran St NW,73.53419972640219,107507,24.243023546256875,18.33642692147447,14.238538052224264,0.7905791747086581,19.0
D St & Maryland Ave NE,36.665526675786595,53605,24.67157524557386,10.298740152774757,8.052622264330875,0.7473626049135211,20.0
5th St & Massachusetts Ave NW,54.1812585499316,79213,24.683971223822468,13.168086892068466,10.203276609362925,0.8290174119861091,21.0
Lamont & Mt Pleasant NW,61.88919288645691,90482,25.15966567968294,21.562572862908855,17.399539222351397,0.8234645667906293,22.0
1st & I St SE,61.151162790697676,89403,25.836748096111734,16.67568117404499,13.210079678766233,0.8370128694092772,23.0
7th & S St NW,38.803693570451436,56731,25.878849847727636,10.466389081899042,8.412354721551353,0.7177805835129712,24.0
14th & Q St NW,50.81942544459644,74298,25.97177214864913,13.827115385556715,11.173637903944279,0.825802721165917,25.0
6th & H St NE,68.22777017783858,99749,26.37065738230101,16.452358274517856,12.855263125491382,0.780665390054515,26.0
8th & H St NW,60.555403556771545,88532,26.51976278859464,16.59590795439705,13.794317944881609,0.8269434895750888,27.0
New Jersey Ave & R St NW,36.36046511627907,53159,26.526645915376495,9.686599308536328,7.64761661702549,0.8026836936101114,28.0
14th & V St NW,96.91313269493844,141687,26.560420910031713,30.607797584773643,25.261429090695284,0.81866119960444,29.0
Florida Ave & R St NW,37.49794801641587,54822,26.763411835674734,10.96929986656863,8.6230750752122,0.7678308208121707,30.0
17th & K St NW,51.864569083447336,75826,27.015259223877063,14.073856400418014,11.030881252809635,0.8525559723818108,31.0
Georgia Ave & Morton St NW,32.83036935704514,47998,27.085139208562243,13.49586886063506,10.513523994979202,0.8145233165536266,32.0
16th & Harvard St NW,43.93160054719562,64228,27.25280804854385,16.263234735983158,13.133395881322032,0.7574645434077444,33.0
3rd & G St SE,34.86662106703147,50975,27.254433153580155,9.881028892301046,7.925217752424872,0.81253055674185,34.0
Adams Mill & Columbia Rd NW,77.62448700410397,113487,27.37152832893693,24.74371748126961,19.87344196008236,0.7860654783558136,35.0
23rd & M St NW,57.14158686730506,83541,27.503355512291762,15.387399471425324,12.358583797801485,0.8004289894728441,36.0
11th & Girard St NW,46.62995896032832,68173,27.54834949753457,16.347574899911578,13.169316940850758,0.7498921507107442,37.0
Massachusetts Ave & Dupont Circle NW,69.03351573187415,100927,27.576999301614375,118.52988114985487,103.1084366057236,-0.3990796269146911,38.0
14th & Irving St NW,76.60328317373461,111994,27.610566330467,27.44966253232614,21.985076828466077,0.7350493963258932,39.0
14th & D St SE,27.591655266757865,40339,27.68085104242533,7.187961811707577,5.68506656028411,0.7615005763500783,40.0
14th & Newton St NW,34.13679890560876,49908,27.762746782551407,11.318012501319652,9.078571332411512,0.7537638160282806,41.0
10th St & Florida Ave NW,38.32900136798906,56037,27.766337838967342,11.859036255735782,9.319695751570682,0.7911304791736273,42.0
22nd & I St NW / Foggy Bottom,49.37277701778386,72183,27.819774019987374,19.786356076876668,15.7133643344168,0.8291133328384097,43.0
8th & H St NE,27.367305061559506,40011,27.857446429674138,9.20651137753409,7.249393757356794,0.7788647375459158,44.0
Columbia & Ontario Rd NW,58.452120383036934,85457,27.918892250641637,20.975929645164445,16.868851747061708,0.6955128450204834,45.0
10th & H St NE,25.230506155950753,36887,28.000721578547584,7.872037221632826,6.0735031850907495,0.6972627339881667,46.0
1st & O St NW,30.850889192886456,45104,28.1150867615985,8.861033384225035,7.193152132826054,0.6733309638936235,47.0
Lincoln Park / 13th & East Capitol St NE ,43.43844049247606,63507,28.201102131115118,14.166202443464966,11.31913509213167,0.8147101796840083,48.0
5th & Morse St NE,31.90218878248974,46641,28.538721177218758,13.48941062626386,10.919723006524341,0.8592906198341362,49.0
20th & O St NW / Dupont South,56.53761969904241,82658,28.594701421395442,18.09993844442375,13.8173020457624,0.8134540372460154,50.0
3rd & H St NW,37.47332421340629,54786,28.774695555763756,11.26204929773528,8.821258180248677,0.7751041137966748,51.0
16th & R St NW,39.88714090287278,58315,28.86153206431889,12.804818195593734,10.065702702284666,0.7122587323553242,52.0
6th & K St NE,25.99794801641587,38009,28.95024051201372,7.3075986700389395,5.672047527079445,0.7323127693071513,53.0
25th St & Pennsylvania Ave NW,50.82079343365253,74300,28.984930517728095,15.172782636343166,11.976789472150726,0.85001762604842,54.0
7th & F St NW / National Portrait Gallery,51.0499316005472,74635,28.986044116600624,16.52620827933659,12.599129988283382,0.7854756606355832,55.0
15th & F St NE,19.802325581395348,28951,29.063836413545808,6.586163762235056,5.334276937570703,0.7128546587896584,56.0
